doi,title,authors,published,url,journal,has_fulltext,is_oa,downloaded,path,data_links,data_availability_statements,code_availability_statements,format,repository,repository_url,download_status,data_download_path,data_size,number_of_files,license
10.1038/s41597-019-0344-7,"A global database for metacommunity ecology, integrating species, traits, environment and space","Aliénor Jeliazkov, Darko Mijatovic, Stéphane Chantepie, Nigel R. Andrew, Raphaël Arlettaz, Luc Barbaro, Nadia Barsoum, Alena Sucháčková Bartoňová, Elena Belskaya, Núria Bonada, Anik Brind’Amour, Rodrigo Assis de Carvalho, Helena Castro, Damian Chmura, Philippe Choler, Karen Chong‐Seng, Daniel F. R. Cleary, A. Cormont, William K. Cornwell, Ramiro de Campos, Nicole J. de Voogd, Sylvain Dolédec, Joshua Adam Drew, Frank Dziock, Anthony Eallonardo, Melanie J. Edgar, Fábio Z. Farneda, Domingo Flores Hernández, Cédric Frenette‐Dussault, Guillaume Fried, Belinda Gallardo, Heloise Gibb, Thiago Gonçalves‐Souza, Janet Higuti, Jean‐Yves Humbert, Boris R. Krasnov, Eric Le Saux, Zoë Lindo, Adrià López‐Baucells, Elizabeth Lowe, Bryndís Marteinsdóttir, Koen Martens, Peter J. Meffert, Andrés Mellado‐Díaz, Myles H. M. Menz, Christoph F. J. Meyer, Julia Ramos Miranda, David Mouillot, Alessandro Ossola, Robin J. Pakeman, Sandrine Pavoine, Burak K. Pekin, Joan Pino, Arnaud Pocheville, Francesco Pomati, Peter Poschlod, Honor C. Prentice, Oliver Purschke, Valérie Raevel, Triin Reitalu, Willem Renema, Ignacio Ribera, Natalie Robinson, Bjorn J. M. Robroek, Ricardo Rocha, Sen-Her Shieh, Rebecca Spake, Monika Staniaszek‐Kik, Michał Stanko, Francisco Leonardo Tejerina‐Garro, Cajo J. F. ter Braak, Mark C. Urban, Roel van Klink, Sébastien Villéger, R.J.M. Wegman, Martin J. Westgate, Jonas O. Wolff, Jan Żarnowiec, Maxim Zolotarev, Jonathan M. Chase",2020-01-08,https://doi.org/10.1038/s41597-019-0344-7,,True,True,False,,[],,,,,,False,,,0,
10.1002/ecy.2439,Overwintering behavior of juvenile sea turtles at a temperate foraging ground,"Margaret M. Lamont, David R. Seay, Kathleen Gault",2018-06-27,https://doi.org/10.1002/ecy.2439,,False,False,False,,[],,,,,,False,,,0,
